# gunzip -c exp_FG/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/mono/graph 
# Started at Sun Apr  1 15:38:14 CST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 16.049382716% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 18.5185185185% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 84.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,11.0,60) frames.
Overall, i3_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,20.0,22) frames.
Overall, i4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,21.0,24) frames.
Overall, iao4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,33.2,47) frames.
Overall, k_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (33,45.9,94) frames.
Overall, k_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,15) frames.
Overall, m_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,14) frames.
Overall, ong2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,18.0,29) frames.
Overall, sh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,9.5,11) frames.
Overall, u3_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,14.3,16) frames.
Overall, ua1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,19) frames.
Overall, z_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,19.0,23) frames.
Overall, er4_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (23,18.0,31) frames.
The optional-silence phone sil occupies 5.9% of frames overall 
Limiting the stats to the 85.0% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 5.1% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.1 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 5.5% of utterance-internal phones, with duration (median, mean, 95-percentile) = (14,13.9,23)
# Accounting: time=1 threads=1
# Ended (code 0) at Sun Apr  1 15:38:15 CST 2018, elapsed time 1 seconds
