# gunzip -c exp_FG/DNN_tri_8_2000_aligned_layer3_nodes256/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/tri_8_2000/graph 
# Started at Sun Apr  1 15:53:34 CST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 3.7037037037% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 18.5185185185% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 96.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,15.4,65) frames.
Overall, f_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.0,25) frames.
Overall, g_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,5) frames.
Overall, ian2_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,19.4,43) frames.
Overall, k_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,13) frames.
Overall, l_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.5,18) frames.
Overall, m_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.6,17) frames.
Overall, u3_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.6,31) frames.
Overall, u4_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.3,17) frames.
Overall, uang1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,19.0,31) frames.
Overall, ai1_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,12) frames.
Overall, d_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.8,4) frames.
Overall, i3_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.8,23) frames.
Overall, iao4_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (39,42.9,59) frames.
Overall, k_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (24,37.7,74) frames.
The optional-silence phone sil occupies 3.5% of frames overall 
Limiting the stats to the 82.9% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 3.2% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.1 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 4.2% of utterance-internal phones, with duration (median, mean, 95-percentile) = (8,11.7,34)
# Accounting: time=1 threads=1
# Ended (code 0) at Sun Apr  1 15:53:35 CST 2018, elapsed time 1 seconds
